Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Custom field (Development),Custom field (Issue color),Custom field (Rank),Sprint,Custom field (Start date),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Custom field (Vulnerability),Parent,Parent key,Parent summary,Status Category,Status Category Changed
User Onboarding,ALPHA-1,10000,Epic,Idea,ALPHA,Alpha Platform Development,software,Alice Chen,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,Scrum project for developing the Alpha customer platform,Urgent,,,,Alice Chen,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,Alice Chen,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,02/Nov/25 7:00 PM,02/Nov/25 7:00 PM,,,23/Nov/25 7:00 PM,0,Complete user registration and onboarding experience,,Alice Chen,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,,,,,,,,,,,,,purple,0|i10000:,,02/Nov/25 7:00 PM,,,,,,,,To Do,02/Nov/25 7:00 PM
Reporting Dashboard,ALPHA-2,10001,Epic,Idea,ALPHA,Alpha Platform Development,software,Alice Chen,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,Scrum project for developing the Alpha customer platform,High,,,,Alice Chen,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,Alice Chen,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,02/Nov/25 7:00 PM,02/Nov/25 7:00 PM,,,30/Nov/25 7:00 PM,0,Analytics and reporting capabilities for business insights,,Alice Chen,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,,,,,,,,,,,,,purple,0|i10001:,,02/Nov/25 7:00 PM,,,,,,,,To Do,02/Nov/25 7:00 PM
Payments Integration,ALPHA-3,10002,Epic,Idea,ALPHA,Alpha Platform Development,software,Alice Chen,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,Scrum project for developing the Alpha customer platform,Medium,,,,Alice Chen,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,Alice Chen,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,02/Nov/25 7:00 PM,02/Nov/25 7:00 PM,,,07/Dec/25 7:00 PM,0,Secure payment processing with third-party provider,,Alice Chen,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,,,,,,,,,,,,,purple,0|i10002:,,02/Nov/25 7:00 PM,,,,,,,,To Do,02/Nov/25 7:00 PM
Signup with Email,ALPHA-4,10003,Story,Done,ALPHA,Alpha Platform Development,software,Alice Chen,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,Scrum project for developing the Alpha customer platform,Urgent,,Cara Lopez,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,Alice Chen,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,Alice Chen,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,02/Nov/25 7:00 PM,02/Nov/25 7:00 PM,02/Nov/25 7:00 PM,,09/Nov/25 7:00 PM,0,"As a new user, I want to sign up with my email address so that I can create an account",,Alice Chen,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,,,,,,,,,,,,,,0|i20000:,Sprint 1 - User Onboarding,02/Nov/25 7:00 PM,5,,,,10000,ALPHA-1,User Onboarding,Done,02/Nov/25 7:00 PM
Profile Creation,ALPHA-5,10004,Story,Done,ALPHA,Alpha Platform Development,software,Alice Chen,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,Scrum project for developing the Alpha customer platform,High,,Cara Lopez,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,Alice Chen,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,Alice Chen,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,07/Nov/25 7:00 PM,07/Nov/25 7:00 PM,07/Nov/25 7:00 PM,,14/Nov/25 7:00 PM,0,"As a registered user, I want to create my profile with personal information so that I can personalize my account",,Alice Chen,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,,,,,,,,,,,,,,0|i20001:,Sprint 1 - User Onboarding,07/Nov/25 7:00 PM,8,,,,10000,ALPHA-1,User Onboarding,Done,07/Nov/25 7:00 PM
Welcome Tour,ALPHA-6,10005,Story,In Progress,ALPHA,Alpha Platform Development,software,Alice Chen,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,Scrum project for developing the Alpha customer platform,Medium,,Diego Patel,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,Alice Chen,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,Alice Chen,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,09/Nov/25 7:00 PM,09/Nov/25 7:00 PM,09/Nov/25 7:00 PM,,16/Nov/25 7:00 PM,0,"As a first-time user, I want to see a guided tour of key features so that I can learn how to use the platform",,Alice Chen,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,,,,,,,,,,,,,,0|i20002:,Sprint 1 - User Onboarding,09/Nov/25 7:00 PM,3,,,,10000,ALPHA-1,User Onboarding,In Progress,09/Nov/25 7:00 PM
Metrics Ingestion,ALPHA-7,10006,Story,Done,ALPHA,Alpha Platform Development,software,Alice Chen,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,Scrum project for developing the Alpha customer platform,High,,Cara Lopez,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,Alice Chen,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,Alice Chen,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,17/Nov/25 7:00 PM,17/Nov/25 7:00 PM,17/Nov/25 7:00 PM,,24/Nov/25 7:00 PM,0,"As a system administrator, I want automated data ingestion from external sources so that reports are always current",,Alice Chen,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,,,,,,,,,,,,,,0|i20003:,Sprint 2 - Reporting Dashboard,17/Nov/25 7:00 PM,13,,,,10001,ALPHA-2,Reporting Dashboard,Done,17/Nov/25 7:00 PM
Chart Components,ALPHA-8,10007,Story,In Review,ALPHA,Alpha Platform Development,software,Alice Chen,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,Scrum project for developing the Alpha customer platform,High,,Diego Patel,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,Alice Chen,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,Alice Chen,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,19/Nov/25 7:00 PM,19/Nov/25 7:00 PM,19/Nov/25 7:00 PM,,27/Nov/25 7:00 PM,0,"As a business user, I want interactive charts so that I can visualize trends and patterns",,Alice Chen,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,,,,,,,,,,,,,,0|i20004:,Sprint 2 - Reporting Dashboard,19/Nov/25 7:00 PM,8,,,,10001,ALPHA-2,Reporting Dashboard,In Progress,19/Nov/25 7:00 PM
Export to CSV,ALPHA-9,10008,Story,To Do,ALPHA,Alpha Platform Development,software,Alice Chen,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,Scrum project for developing the Alpha customer platform,Medium,,Diego Patel,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,Alice Chen,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,Alice Chen,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,25/Nov/25 7:00 PM,25/Nov/25 7:00 PM,25/Nov/25 7:00 PM,,30/Nov/25 7:00 PM,0,"As a business analyst, I want to export data to CSV so that I can perform offline analysis",,Alice Chen,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,,,,,,,,,,,,,,0|i20005:,Sprint 2 - Reporting Dashboard,,5,,,,10001,ALPHA-2,Reporting Dashboard,To Do,25/Nov/25 7:00 PM
Payment Provider Selection,ALPHA-10,10009,Story,Done,ALPHA,Alpha Platform Development,software,Alice Chen,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,Scrum project for developing the Alpha customer platform,High,,Alice Chen,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,Alice Chen,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,Alice Chen,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,01/Dec/25 7:00 PM,01/Dec/25 7:00 PM,01/Dec/25 7:00 PM,,04/Dec/25 7:00 PM,0,"As a product owner, I want to evaluate payment providers so that we can select the best option",,Alice Chen,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,,,,,,,,,,,,,,0|i20006:,Sprint 3 - Payments Integration,01/Dec/25 7:00 PM,5,,,,10002,ALPHA-3,Payments Integration,Done,01/Dec/25 7:00 PM
Checkout Flow,ALPHA-11,10010,Story,In Progress,ALPHA,Alpha Platform Development,software,Alice Chen,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,Scrum project for developing the Alpha customer platform,Urgent,,Cara Lopez,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,Alice Chen,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,Alice Chen,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,04/Dec/25 7:00 PM,04/Dec/25 7:00 PM,04/Dec/25 7:00 PM,,11/Dec/25 7:00 PM,0,"As a customer, I want a seamless checkout experience so that I can complete purchases easily",,Alice Chen,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,,,,,,,,,,,,,,0|i20007:,Sprint 3 - Payments Integration,04/Dec/25 7:00 PM,13,,,,10002,ALPHA-3,Payments Integration,In Progress,04/Dec/25 7:00 PM
