"ID","Team","Title","Description","Status","Estimate","Priority","Project ID","Project","Creator","Assignee","Labels","Cycle Number","Cycle Name","Cycle Start","Cycle End","Created","Updated","Started","Triaged","Completed","Canceled","Archived","Due Date","Parent issue","Initiatives","Project Milestone ID","Project Milestone","SLA Status","UUID"
"ALP-1","Alpha Team","User Onboarding","Complete user registration and onboarding experience","Backlog","","Urgent","f288f480-e45c-4718-960b-80f48a997e1b","Alpha Platform Development","alice.chen@example.org","","","","","","","Sun Nov 02 2025 19:00:00 GMT+0000 (GMT)","Sun Nov 02 2025 19:00:00 GMT+0000 (GMT)","","","","","","Sun Nov 23 2025 19:00:00 GMT+0000 (GMT)","","","","","","b4b28e84-0e93-4bfe-a36f-2afd5837787e"
"ALP-2","Alpha Team","Reporting Dashboard","Analytics and reporting capabilities for business insights","Backlog","","High","f288f480-e45c-4718-960b-80f48a997e1b","Alpha Platform Development","alice.chen@example.org","","","","","","","Sun Nov 02 2025 19:00:00 GMT+0000 (GMT)","Sun Nov 02 2025 19:00:00 GMT+0000 (GMT)","","","","","","Sun Nov 30 2025 19:00:00 GMT+0000 (GMT)","","","","","","a3f2e9be-d579-4920-b03c-cdb6345956d5"
"ALP-3","Alpha Team","Payments Integration","Secure payment processing with third-party provider","Backlog","","Medium","f288f480-e45c-4718-960b-80f48a997e1b","Alpha Platform Development","alice.chen@example.org","","","","","","","Sun Nov 02 2025 19:00:00 GMT+0000 (GMT)","Sun Nov 02 2025 19:00:00 GMT+0000 (GMT)","","","","","","Sun Dec 07 2025 19:00:00 GMT+0000 (GMT)","","","","","","44693c6e-0686-44aa-bc5f-69334c09b834"
"ALP-4","Alpha Team","Signup with Email","As a new user, I want to sign up with my email address so that I can create an account","Completed","5","Urgent","f288f480-e45c-4718-960b-80f48a997e1b","Alpha Platform Development","alice.chen@example.org","cara.lopez@example.org","","1","Sprint 1 - User Onboarding","Sun Nov 02 2025 19:00:00 GMT+0000 (GMT)","Sun Nov 16 2025 19:00:00 GMT+0000 (GMT)","Sun Nov 02 2025 19:00:00 GMT+0000 (GMT)","Sun Nov 02 2025 19:00:00 GMT+0000 (GMT)","Sun Nov 02 2025 19:00:00 GMT+0000 (GMT)","","Sat Nov 08 2025 19:00:00 GMT+0000 (GMT)","","","Sun Nov 09 2025 19:00:00 GMT+0000 (GMT)","ALP-1","","","","","6995545c-2ace-4cba-a48a-ebd34ba1bdcb"
"ALP-5","Alpha Team","Profile Creation","As a registered user, I want to create my profile with personal information so that I can personalize my account","Completed","8","High","f288f480-e45c-4718-960b-80f48a997e1b","Alpha Platform Development","alice.chen@example.org","cara.lopez@example.org","","1","Sprint 1 - User Onboarding","Sun Nov 02 2025 19:00:00 GMT+0000 (GMT)","Sun Nov 16 2025 19:00:00 GMT+0000 (GMT)","Fri Nov 07 2025 19:00:00 GMT+0000 (GMT)","Fri Nov 07 2025 19:00:00 GMT+0000 (GMT)","Fri Nov 07 2025 19:00:00 GMT+0000 (GMT)","","Fri Nov 14 2025 19:00:00 GMT+0000 (GMT)","","","Fri Nov 14 2025 19:00:00 GMT+0000 (GMT)","ALP-1","","","","","3c1e8e91-c2a7-4a92-bf2f-422e70657087"
"ALP-6","Alpha Team","Welcome Tour","As a first-time user, I want to see a guided tour of key features so that I can learn how to use the platform","In Progress","3","Medium","f288f480-e45c-4718-960b-80f48a997e1b","Alpha Platform Development","alice.chen@example.org","diego.patel@example.org","","1","Sprint 1 - User Onboarding","Sun Nov 02 2025 19:00:00 GMT+0000 (GMT)","Sun Nov 16 2025 19:00:00 GMT+0000 (GMT)","Sun Nov 09 2025 19:00:00 GMT+0000 (GMT)","Sun Nov 09 2025 19:00:00 GMT+0000 (GMT)","Sun Nov 09 2025 19:00:00 GMT+0000 (GMT)","","","","","Sun Nov 16 2025 19:00:00 GMT+0000 (GMT)","ALP-1","","","","","cf132b3f-9ff6-49ca-96d1-de58825a6051"
"ALP-7","Alpha Team","Metrics Ingestion","As a system administrator, I want automated data ingestion from external sources so that reports are always current","Completed","13","High","f288f480-e45c-4718-960b-80f48a997e1b","Alpha Platform Development","alice.chen@example.org","cara.lopez@example.org","","2","Sprint 2 - Reporting Dashboard","Mon Nov 17 2025 19:00:00 GMT+0000 (GMT)","Sun Nov 30 2025 19:00:00 GMT+0000 (GMT)","Mon Nov 17 2025 19:00:00 GMT+0000 (GMT)","Mon Nov 17 2025 19:00:00 GMT+0000 (GMT)","Mon Nov 17 2025 19:00:00 GMT+0000 (GMT)","","Sun Nov 23 2025 19:00:00 GMT+0000 (GMT)","","","Mon Nov 24 2025 19:00:00 GMT+0000 (GMT)","ALP-2","","","","","e4fedf98-9900-4a2d-b88c-785be90f5f7c"
"ALP-8","Alpha Team","Chart Components","As a business user, I want interactive charts so that I can visualize trends and patterns","In Review","8","High","f288f480-e45c-4718-960b-80f48a997e1b","Alpha Platform Development","alice.chen@example.org","diego.patel@example.org","","2","Sprint 2 - Reporting Dashboard","Mon Nov 17 2025 19:00:00 GMT+0000 (GMT)","Sun Nov 30 2025 19:00:00 GMT+0000 (GMT)","Wed Nov 19 2025 19:00:00 GMT+0000 (GMT)","Wed Nov 19 2025 19:00:00 GMT+0000 (GMT)","Wed Nov 19 2025 19:00:00 GMT+0000 (GMT)","","Thu Nov 27 2025 19:00:00 GMT+0000 (GMT)","","","Thu Nov 27 2025 19:00:00 GMT+0000 (GMT)","ALP-2","","","","","a2e35876-a97b-42d2-9352-c6ec1d64b4f3"
"ALP-9","Alpha Team","Export to CSV","As a business analyst, I want to export data to CSV so that I can perform offline analysis","Backlog","5","Medium","f288f480-e45c-4718-960b-80f48a997e1b","Alpha Platform Development","alice.chen@example.org","diego.patel@example.org","","2","Sprint 2 - Reporting Dashboard","Mon Nov 17 2025 19:00:00 GMT+0000 (GMT)","Sun Nov 30 2025 19:00:00 GMT+0000 (GMT)","Tue Nov 25 2025 19:00:00 GMT+0000 (GMT)","Tue Nov 25 2025 19:00:00 GMT+0000 (GMT)","","","","","","Sun Nov 30 2025 19:00:00 GMT+0000 (GMT)","ALP-2","","","","","88c58345-2e59-4794-8f8e-16f027fa723a"
"ALP-10","Alpha Team","Payment Provider Selection","As a product owner, I want to evaluate payment providers so that we can select the best option","Completed","5","High","f288f480-e45c-4718-960b-80f48a997e1b","Alpha Platform Development","alice.chen@example.org","alice.chen@example.org","","3","Sprint 3 - Payments Integration","Mon Dec 01 2025 19:00:00 GMT+0000 (GMT)","Sun Dec 14 2025 19:00:00 GMT+0000 (GMT)","Mon Dec 01 2025 19:00:00 GMT+0000 (GMT)","Mon Dec 01 2025 19:00:00 GMT+0000 (GMT)","Mon Dec 01 2025 19:00:00 GMT+0000 (GMT)","","Thu Dec 04 2025 19:00:00 GMT+0000 (GMT)","","","Thu Dec 04 2025 19:00:00 GMT+0000 (GMT)","ALP-3","","","","","aeb298ff-4656-4abd-bf36-df866e7800e1"
