Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Custom field (Development),Custom field (Issue color),Custom field (Rank),Sprint,Custom field (Start date),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Custom field (Vulnerability),Parent,Parent key,Parent summary,Status Category,Status Category Changed
PM Ontology,SCRUM-14,10021,Feature,To Do,SCRUM,KG_Example,software,KiKo,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,Your first project,Medium,,,,KiKo,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,KiKo,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,18/Oct/25 9:32 AM,06/Dec/25 8:42 AM,06/Dec/25 8:49 AM,,07/Jan/26 12:00 AM,0,,,KiKo,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,,,,,,,,,SCRUM-13,,,,,0|i0002v:,SCRUM Sprint 4,31/Dec/25 12:00 AM,,,,,10013,SCRUM-10,Ontology Development,In Progress,10/Nov/25 5:27 PM
Smartsheet to RDF,SCRUM-13,10019,Feature,To Do,SCRUM,KG_Example,software,KiKo,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,Your first project,Medium,,,,KiKo,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,KiKo,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,18/Oct/25 9:32 AM,06/Dec/25 8:49 AM,06/Dec/25 8:48 AM,,29/Dec/25 12:00 AM,0,,,KiKo,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,,,,,,,,,SCRUM-12,SCRUM-8,SCRUM-14,,,0|i0002n:,SCRUM Sprint 3,06/Dec/25 12:00 AM,5.0,,,,10013,SCRUM-10,Ontology Development,In Progress,10/Nov/25 5:25 PM
MSP to RDF,SCRUM-12,10017,Feature,In Progress,SCRUM,KG_Example,software,KiKo,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,Your first project,Medium,,,,KiKo,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,KiKo,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,18/Oct/25 9:32 AM,06/Dec/25 8:49 AM,10/Nov/25 5:26 PM,,05/Dec/25 12:00 AM,0,,,KiKo,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,,,,,,,,,SCRUM-11,,SCRUM-13,,,0|i0002f:,SCRUM Sprint 2,06/Nov/25 12:00 AM,,,,,10013,SCRUM-10,Ontology Development,In Progress,10/Nov/25 4:09 PM
Jira JSON to RDF,SCRUM-11,10015,Feature,In Progress,SCRUM,KG_Example,software,KiKo,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,Your first project,Medium,,,,KiKo,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,KiKo,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,18/Oct/25 9:32 AM,06/Dec/25 8:49 AM,06/Dec/25 8:49 AM,,01/Dec/25 12:00 AM,0,,,KiKo,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,,,,,,,,,,,SCRUM-12,,,0|i0000l:,SCRUM Sprint 1,03/Nov/25 12:00 AM,,,,,10013,SCRUM-10,Ontology Development,In Progress,10/Nov/25 4:09 PM
Ontology Development,SCRUM-10,10013,Epic,Idea,SCRUM,KG_Example,software,KiKo,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,Your first project,Medium,,,,KiKo,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,KiKo,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,18/Oct/25 9:31 AM,06/Dec/25 8:48 AM,,,31/Dec/25 12:00 AM,0,,,KiKo,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,,,,,,,,,,,,,purple,0|i0001z:,,,,,,,,,,To Do,18/Oct/25 9:31 AM
Dashboard metrics,SCRUM-9,10012,Feature,Idea,SCRUM,KG_Example,software,KiKo,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,Your first project,Medium,,,,KiKo,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,KiKo,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,18/Oct/25 9:31 AM,06/Dec/25 8:49 AM,,,,0,,,KiKo,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,,,,,,,,,SCRUM-7,,,,,0|i0001r:,SCRUM Sprint 3,,,,,,10004,SCRUM-5,Webapp UI,To Do,18/Oct/25 9:31 AM
Import/Export Feature,SCRUM-8,10010,Feature,To Do,SCRUM,KG_Example,software,KiKo,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,Your first project,Medium,,,,KiKo,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,KiKo,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,18/Oct/25 9:31 AM,06/Dec/25 8:51 AM,06/Dec/25 8:42 AM,,,0,,,KiKo,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,,,,,,,,,SCRUM-6,,SCRUM-13,,,0|i0001j:,SCRUM Sprint 2,,,,,,10004,SCRUM-5,Webapp UI,In Progress,06/Dec/25 8:51 AM
Graph Visualization,SCRUM-7,10008,Feature,Idea,SCRUM,KG_Example,software,KiKo,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,Your first project,Medium,,,,KiKo,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,KiKo,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,18/Oct/25 9:31 AM,06/Dec/25 8:49 AM,06/Dec/25 8:50 AM,,,0,,,KiKo,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,,,,,,,,,,,SCRUM-9,,,0|i0000m:,SCRUM Sprint 2,,,,,,10004,SCRUM-5,Webapp UI,To Do,18/Oct/25 9:31 AM
Gantt Chart,SCRUM-6,10006,Feature,Idea,SCRUM,KG_Example,software,KiKo,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,Your first project,Medium,,,,KiKo,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,KiKo,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,18/Oct/25 9:31 AM,06/Dec/25 8:50 AM,06/Dec/25 8:51 AM,,,0,,,KiKo,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,,,,,,,,,,,SCRUM-8,,,0|i0000j:,SCRUM Sprint 1,,,,,,10004,SCRUM-5,Webapp UI,To Do,18/Oct/25 9:31 AM
Webapp UI,SCRUM-5,10004,Epic,Idea,SCRUM,KG_Example,software,KiKo,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,Your first project,Medium,,,,KiKo,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,KiKo,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,18/Oct/25 9:30 AM,06/Dec/25 8:49 AM,,,02/Dec/25 12:00 AM,0,,,KiKo,712020:b4a55964-bc07-41e3-aff2-aa429d3932cd,,,,,,,,,,,,,purple,0|i0000v:,,18/Oct/25 12:00 AM,,,,,,,,To Do,18/Oct/25 9:30 AM
